Time         Position     velocity     Temperature  Pressure     
0.00         0.00         0.10         373.00       0.00         
0.00         0.03         1.00         289.67       513.00       
0.00         0.08         1.00         275.78       486.00       
0.00         0.13         1.00         273.46       459.00       
0.00         0.17         1.00         273.08       432.00       
0.00         0.22         1.00         273.01       405.00       
0.00         0.27         1.00         273.00       378.00       
0.00         0.32         1.00         273.00       351.00       
0.00         0.37         1.00         273.00       324.00       
0.00         0.42         1.00         273.00       297.00       
0.00         0.47         1.00         273.00       270.00       
0.00         0.52         1.00         273.00       243.00       
0.00         0.57         1.00         273.00       216.00       
0.00         0.63         1.00         273.00       189.00       
0.00         0.68         1.00         273.00       162.00       
0.00         0.73         1.00         273.00       135.00       
0.00         0.78         1.00         273.00       108.00       
0.00         0.83         1.00         273.00       81.00        
0.00         0.88         1.00         273.00       54.00        
0.00         0.93         1.00         273.00       27.00        
0.00         0.98         1.00         273.00       0.00         
0.00         1.00         1.00         273.00       0.00         

0.01         0.00         0.10         373.00       0.00         
0.01         0.03         1.00         303.56       513.00       
0.01         0.08         1.00         280.41       486.00       
0.01         0.13         1.00         274.62       459.00       
0.01         0.17         1.00         273.33       432.00       
0.01         0.22         1.00         273.07       405.00       
0.01         0.27         1.00         273.01       378.00       
0.01         0.32         1.00         273.00       351.00       
0.01         0.37         1.00         273.00       324.00       
0.01         0.42         1.00         273.00       297.00       
0.01         0.47         1.00         273.00       270.00       
0.01         0.52         1.00         273.00       243.00       
0.01         0.57         1.00         273.00       216.00       
0.01         0.63         1.00         273.00       189.00       
0.01         0.68         1.00         273.00       162.00       
0.01         0.73         1.00         273.00       135.00       
0.01         0.78         1.00         273.00       108.00       
0.01         0.83         1.00         273.00       81.00        
0.01         0.88         1.00         273.00       54.00        
0.01         0.93         1.00         273.00       27.00        
0.01         0.98         1.00         273.00       0.00         
0.01         1.00         1.00         273.00       0.00         

0.02         0.00         0.10         373.00       0.00         
0.02         0.03         1.00         315.13       513.00       
0.02         0.08         1.00         286.19       486.00       
0.02         0.13         1.00         276.55       459.00       
0.02         0.17         1.00         273.87       432.00       
0.02         0.22         1.00         273.20       405.00       
0.02         0.27         1.00         273.04       378.00       
0.02         0.32         1.00         273.01       351.00       
0.02         0.37         1.00         273.00       324.00       
0.02         0.42         1.00         273.00       297.00       
0.02         0.47         1.00         273.00       270.00       
0.02         0.52         1.00         273.00       243.00       
0.02         0.57         1.00         273.00       216.00       
0.02         0.63         1.00         273.00       189.00       
0.02         0.68         1.00         273.00       162.00       
0.02         0.73         1.00         273.00       135.00       
0.02         0.78         1.00         273.00       108.00       
0.02         0.83         1.00         273.00       81.00        
0.02         0.88         1.00         273.00       54.00        
0.02         0.93         1.00         273.00       27.00        
0.02         0.98         1.00         273.00       0.00         
0.02         1.00         1.00         273.00       0.00         

0.03         0.00         0.10         373.00       0.00         
0.03         0.03         1.00         324.77       513.00       
0.03         0.08         1.00         292.62       486.00       
0.03         0.13         1.00         279.23       459.00       
0.03         0.17         1.00         274.76       432.00       
0.03         0.22         1.00         273.46       405.00       
0.03         0.27         1.00         273.11       378.00       
0.03         0.32         1.00         273.03       351.00       
0.03         0.37         1.00         273.01       324.00       
0.03         0.42         1.00         273.00       297.00       
0.03         0.47         1.00         273.00       270.00       
0.03         0.52         1.00         273.00       243.00       
0.03         0.57         1.00         273.00       216.00       
0.03         0.63         1.00         273.00       189.00       
0.03         0.68         1.00         273.00       162.00       
0.03         0.73         1.00         273.00       135.00       
0.03         0.78         1.00         273.00       108.00       
0.03         0.83         1.00         273.00       81.00        
0.03         0.88         1.00         273.00       54.00        
0.03         0.93         1.00         273.00       27.00        
0.03         0.98         1.00         273.00       0.00         
0.03         1.00         1.00         273.00       0.00         

0.04         0.00         0.10         373.00       0.00         
0.04         0.03         1.00         332.81       513.00       
0.04         0.08         1.00         299.32       486.00       
0.04         0.13         1.00         282.58       459.00       
0.04         0.17         1.00         276.07       432.00       
0.04         0.22         1.00         273.90       405.00       
0.04         0.27         1.00         273.24       378.00       
0.04         0.32         1.00         273.06       351.00       
0.04         0.37         1.00         273.02       324.00       
0.04         0.42         1.00         273.00       297.00       
0.04         0.47         1.00         273.00       270.00       
0.04         0.52         1.00         273.00       243.00       
0.04         0.57         1.00         273.00       216.00       
0.04         0.63         1.00         273.00       189.00       
0.04         0.68         1.00         273.00       162.00       
0.04         0.73         1.00         273.00       135.00       
0.04         0.78         1.00         273.00       108.00       
0.04         0.83         1.00         273.00       81.00        
0.04         0.88         1.00         273.00       54.00        
0.04         0.93         1.00         273.00       27.00        
0.04         0.98         1.00         273.00       0.00         
0.04         1.00         1.00         273.00       0.00         

0.05         0.00         0.10         373.00       0.00         
0.05         0.03         1.00         339.51       513.00       
0.05         0.08         1.00         306.02       486.00       
0.05         0.13         1.00         286.48       459.00       
0.05         0.17         1.00         277.80       432.00       
0.05         0.22         1.00         274.55       405.00       
0.05         0.27         1.00         273.46       378.00       
0.05         0.32         1.00         273.13       351.00       
0.05         0.37         1.00         273.03       324.00       
0.05         0.42         1.00         273.01       297.00       
0.05         0.47         1.00         273.00       270.00       
0.05         0.52         1.00         273.00       243.00       
0.05         0.57         1.00         273.00       216.00       
0.05         0.63         1.00         273.00       189.00       
