Time         Position     density      velocity     Temperature  Pressure     species1     species2    
0.0000       0.0000       1.2500       0.1000       273.0000     0.0000       0.0000       1.0000      
0.0000       0.0050       1.0595       1.0000       273.0000     595.7640     0.6667       0.3333      
0.0000       0.0150       1.0181       1.0000       273.0000     590.7390     0.8889       0.1111      
0.0000       0.0250       1.0059       1.0000       273.0000     584.8765     0.9630       0.0370      
0.0000       0.0350       1.0019       1.0000       273.0000     578.8744     0.9877       0.0123      
0.0000       0.0450       1.0006       1.0000       273.0000     572.8491     0.9959       0.0041      
0.0000       0.0550       1.0002       1.0000       273.0000     566.8198     0.9986       0.0014      
0.0000       0.0650       1.0001       1.0000       273.0000     560.7900     0.9995       0.0005      
0.0000       0.0750       1.0000       1.0000       273.0000     554.7600     0.9998       0.0002      
0.0000       0.0850       1.0000       1.0000       273.0000     548.7300     0.9999       0.0001      
0.0000       0.0950       1.0000       1.0000       273.0000     542.7000     1.0000       0.0000      
0.0000       0.1050       1.0000       1.0000       273.0000     536.6700     1.0000       0.0000      
0.0000       0.1150       1.0000       1.0000       273.0000     530.6400     1.0000       0.0000      
0.0000       0.1250       1.0000       1.0000       273.0000     524.6100     1.0000       0.0000      
0.0000       0.1350       1.0000       1.0000       273.0000     518.5800     1.0000       0.0000      
0.0000       0.1450       1.0000       1.0000       273.0000     512.5500     1.0000       0.0000      
0.0000       0.1550       1.0000       1.0000       273.0000     506.5200     1.0000       0.0000      
0.0000       0.1650       1.0000       1.0000       273.0000     500.4900     1.0000       0.0000      
0.0000       0.1750       1.0000       1.0000       273.0000     494.4600     1.0000       0.0000      
0.0000       0.1850       1.0000       1.0000       273.0000     488.4300     1.0000       0.0000      
0.0000       0.1950       1.0000       1.0000       273.0000     482.4000     1.0000       0.0000      
0.0000       0.2050       1.0000       1.0000       273.0000     476.3700     1.0000       0.0000      
0.0000       0.2150       1.0000       1.0000       273.0000     470.3400     1.0000       0.0000      
0.0000       0.2250       1.0000       1.0000       273.0000     464.3100     1.0000       0.0000      
0.0000       0.2350       1.0000       1.0000       273.0000     458.2800     1.0000       0.0000      
0.0000       0.2450       1.0000       1.0000       273.0000     452.2500     1.0000       0.0000      
0.0000       0.2550       1.0000       1.0000       273.0000     446.2200     1.0000       0.0000      
0.0000       0.2650       1.0000       1.0000       273.0000     440.1900     1.0000       0.0000      
0.0000       0.2750       1.0000       1.0000       273.0000     434.1600     1.0000       0.0000      
0.0000       0.2850       1.0000       1.0000       273.0000     428.1300     1.0000       0.0000      
0.0000       0.2950       1.0000       1.0000       273.0000     422.1000     1.0000       0.0000      
0.0000       0.3050       1.0000       1.0000       273.0000     416.0700     1.0000       0.0000      
0.0000       0.3150       1.0000       1.0000       273.0000     410.0400     1.0000       0.0000      
0.0000       0.3250       1.0000       1.0000       273.0000     404.0100     1.0000       0.0000      
0.0000       0.3350       1.0000       1.0000       273.0000     397.9800     1.0000       0.0000      
0.0000       0.3450       1.0000       1.0000       273.0000     391.9500     1.0000       0.0000      
0.0000       0.3550       1.0000       1.0000       273.0000     385.9200     1.0000       0.0000      
0.0000       0.3650       1.0000       1.0000       273.0000     379.8900     1.0000       0.0000      
0.0000       0.3750       1.0000       1.0000       273.0000     373.8600     1.0000       0.0000      
0.0000       0.3850       1.0000       1.0000       273.0000     367.8300     1.0000       0.0000      
0.0000       0.3950       1.0000       1.0000       273.0000     361.8000     1.0000       0.0000      
0.0000       0.4050       1.0000       1.0000       273.0000     355.7700     1.0000       0.0000      
0.0000       0.4150       1.0000       1.0000       273.0000     349.7400     1.0000       0.0000      
0.0000       0.4250       1.0000       1.0000       273.0000     343.7100     1.0000       0.0000      
0.0000       0.4350       1.0000       1.0000       273.0000     337.6800     1.0000       0.0000      
0.0000       0.4450       1.0000       1.0000       273.0000     331.6500     1.0000       0.0000      
0.0000       0.4550       1.0000       1.0000       273.0000     325.6200     1.0000       0.0000      
0.0000       0.4650       1.0000       1.0000       273.0000     319.5900     1.0000       0.0000      
0.0000       0.4750       1.0000       1.0000       273.0000     313.5600     1.0000       0.0000      
0.0000       0.4850       1.0000       1.0000       273.0000     307.5300     1.0000       0.0000      
0.0000       0.4950       1.0000       1.0000       273.0000     301.5000     1.0000       0.0000      
0.0000       0.5050       1.0000       1.0000       273.0000     295.4700     1.0000       0.0000      
0.0000       0.5150       1.0000       1.0000       273.0000     289.4400     1.0000       0.0000      
0.0000       0.5250       1.0000       1.0000       273.0000     283.4100     1.0000       0.0000      
0.0000       0.5350       1.0000       1.0000       273.0000     277.3800     1.0000       0.0000      
0.0000       0.5450       1.0000       1.0000       273.0000     271.3500     1.0000       0.0000      
0.0000       0.5550       1.0000       1.0000       273.0000     265.3200     1.0000       0.0000      
0.0000       0.5650       1.0000       1.0000       273.0000     259.2900     1.0000       0.0000      
0.0000       0.5750       1.0000       1.0000       273.0000     253.2600     1.0000       0.0000      
0.0000       0.5850       1.0000       1.0000       273.0000     247.2300     1.0000       0.0000      
0.0000       0.5950       1.0000       1.0000       273.0000     241.2000     1.0000       0.0000      
0.0000       0.6050       1.0000       1.0000       273.0000     235.1700     1.0000       0.0000      
0.0000       0.6150       1.0000       1.0000       273.0000     229.1400     1.0000       0.0000      
0.0000       0.6250       1.0000       1.0000       273.0000     223.1100     1.0000       0.0000      
0.0000       0.6350       1.0000       1.0000       273.0000     217.0800     1.0000       0.0000      
0.0000       0.6450       1.0000       1.0000       273.0000     211.0500     1.0000       0.0000      
0.0000       0.6550       1.0000       1.0000       273.0000     205.0200     1.0000       0.0000      
0.0000       0.6650       1.0000       1.0000       273.0000     198.9900     1.0000       0.0000      
0.0000       0.6750       1.0000       1.0000       273.0000     192.9600     1.0000       0.0000      
0.0000       0.6850       1.0000       1.0000       273.0000     186.9300     1.0000       0.0000      
0.0000       0.6950       1.0000       1.0000       273.0000     180.9000     1.0000       0.0000      
0.0000       0.7050       1.0000       1.0000       273.0000     174.8700     1.0000       0.0000      
0.0000       0.7150       1.0000       1.0000       273.0000     168.8400     1.0000       0.0000      
0.0000       0.7250       1.0000       1.0000       273.0000     162.8100     1.0000       0.0000      
0.0000       0.7350       1.0000       1.0000       273.0000     156.7800     1.0000       0.0000      
0.0000       0.7450       1.0000       1.0000       273.0000     150.7500     1.0000       0.0000      
0.0000       0.7550       1.0000       1.0000       273.0000     144.7200     1.0000       0.0000      
0.0000       0.7650       1.0000       1.0000       273.0000     138.6900     1.0000       0.0000      
0.0000       0.7750       1.0000       1.0000       273.0000     132.6600     1.0000       0.0000      
0.0000       0.7850       1.0000       1.0000       273.0000     126.6300     1.0000       0.0000      
0.0000       0.7950       1.0000       1.0000       273.0000     120.6000     1.0000       0.0000      
0.0000       0.8050       1.0000       1.0000       273.0000     114.5700     1.0000       0.0000      
0.0000       0.8150       1.0000       1.0000       273.0000     108.5400     1.0000       0.0000      
0.0000       0.8250       1.0000       1.0000       273.0000     102.5100     1.0000       0.0000      
0.0000       0.8350       1.0000       1.0000       273.0000     96.4800      1.0000       0.0000      
0.0000       0.8450       1.0000       1.0000       273.0000     90.4500      1.0000       0.0000      
0.0000       0.8550       1.0000       1.0000       273.0000     84.4200      1.0000       0.0000      
0.0000       0.8650       1.0000       1.0000       273.0000     78.3900      1.0000       0.0000      
