Time         Position     density      velocity     Temperature  Pressure     species1     species2    
0.0000       0.0000       1.2250       0.1000       273.0000     100.0000     0.0000       1.0000      
0.0000       0.0025       1.0865       1.0000       273.0000     476.2000     0.5000       0.5000      
0.0000       0.0075       1.0387       1.0000       273.0000     474.3000     0.7500       0.2500      
0.0000       0.0125       1.0184       1.0000       273.0000     472.4000     0.8750       0.1250      
0.0000       0.0175       1.0090       1.0000       273.0000     470.5000     0.9375       0.0625      
0.0000       0.0225       1.0044       1.0000       273.0000     468.6000     0.9688       0.0312      
0.0000       0.0275       1.0022       1.0000       273.0000     466.7000     0.9844       0.0156      
0.0000       0.0325       1.0011       1.0000       273.0000     464.8000     0.9922       0.0078      
0.0000       0.0375       1.0005       1.0000       273.0000     462.9000     0.9961       0.0039      
0.0000       0.0425       1.0003       1.0000       273.0000     461.0000     0.9980       0.0020      
0.0000       0.0475       1.0001       1.0000       273.0000     459.1000     0.9990       0.0010      
0.0000       0.0525       1.0001       1.0000       273.0000     457.2000     0.9995       0.0005      
0.0000       0.0575       1.0000       1.0000       273.0000     455.3000     0.9998       0.0002      
0.0000       0.0625       1.0000       1.0000       273.0000     453.4000     0.9999       0.0001      
0.0000       0.0675       1.0000       1.0000       273.0000     451.5000     0.9999       0.0001      
0.0000       0.0725       1.0000       1.0000       273.0000     449.6000     1.0000       0.0000      
0.0000       0.0775       1.0000       1.0000       273.0000     447.7000     1.0000       0.0000      
0.0000       0.0825       1.0000       1.0000       273.0000     445.8000     1.0000       0.0000      
0.0000       0.0875       1.0000       1.0000       273.0000     443.9000     1.0000       0.0000      
0.0000       0.0925       1.0000       1.0000       273.0000     442.0000     1.0000       0.0000      
0.0000       0.0975       1.0000       1.0000       273.0000     440.1000     1.0000       0.0000      
0.0000       0.1025       1.0000       1.0000       273.0000     438.2000     1.0000       0.0000      
0.0000       0.1075       1.0000       1.0000       273.0000     436.3000     1.0000       0.0000      
0.0000       0.1125       1.0000       1.0000       273.0000     434.4000     1.0000       0.0000      
0.0000       0.1175       1.0000       1.0000       273.0000     432.5000     1.0000       0.0000      
0.0000       0.1225       1.0000       1.0000       273.0000     430.6000     1.0000       0.0000      
0.0000       0.1275       1.0000       1.0000       273.0000     428.7000     1.0000       0.0000      
0.0000       0.1325       1.0000       1.0000       273.0000     426.8000     1.0000       0.0000      
0.0000       0.1375       1.0000       1.0000       273.0000     424.9000     1.0000       0.0000      
0.0000       0.1425       1.0000       1.0000       273.0000     423.0000     1.0000       0.0000      
0.0000       0.1475       1.0000       1.0000       273.0000     421.1000     1.0000       0.0000      
0.0000       0.1525       1.0000       1.0000       273.0000     419.2000     1.0000       0.0000      
0.0000       0.1575       1.0000       1.0000       273.0000     417.3000     1.0000       0.0000      
0.0000       0.1625       1.0000       1.0000       273.0000     415.4000     1.0000       0.0000      
0.0000       0.1675       1.0000       1.0000       273.0000     413.5000     1.0000       0.0000      
0.0000       0.1725       1.0000       1.0000       273.0000     411.6000     1.0000       0.0000      
