Time         Position     density      velocity     Temperature  Pressure     species1     species2    
0.0000       0.0000       1.2500       0.1000       273.0000     100.0000     0.0000       1.0000      
0.0000       0.0250       1.0961       10.0000      273.0000     -1178.0000   0.5000       0.5000      
0.0000       0.0750       1.0431       10.0000      273.0000     -1107.0000   0.7500       0.2500      
0.0000       0.1250       1.0205       10.0000      273.0000     -1036.0000   0.8750       0.1250      
0.0000       0.1750       1.0100       10.0000      273.0000     -965.0000    0.9375       0.0625      
0.0000       0.2250       1.0049       10.0000      273.0000     -894.0000    0.9687       0.0313      
0.0000       0.2750       1.0025       10.0000      273.0000     -823.0000    0.9844       0.0156      
0.0000       0.3250       1.0012       10.0000      273.0000     -752.0000    0.9922       0.0078      
0.0000       0.3750       1.0006       10.0000      273.0000     -681.0000    0.9961       0.0039      
0.0000       0.4250       1.0003       10.0000      273.0000     -610.0000    0.9980       0.0020      
0.0000       0.4750       1.0002       10.0000      273.0000     -539.0000    0.9990       0.0010      
0.0000       0.5250       1.0001       10.0000      273.0000     -468.0000    0.9995       0.0005      
0.0000       0.5750       1.0000       10.0000      273.0000     -397.0000    0.9998       0.0002      
0.0000       0.6250       1.0000       10.0000      273.0000     -326.0000    0.9999       0.0001      
0.0000       0.6750       1.0000       10.0000      273.0000     -255.0000    0.9999       0.0001      
0.0000       0.7250       1.0000       10.0000      273.0000     -184.0000    1.0000       0.0000      
0.0000       0.7750       1.0000       10.0000      273.0000     -113.0000    1.0000       0.0000      
0.0000       0.8250       1.0000       10.0000      273.0000     -42.0000     1.0000       0.0000      
0.0000       0.8750       1.0000       10.0000      273.0000     29.0000      1.0000       0.0000      
0.0000       0.9250       1.0000       10.0000      273.0000     100.0000     1.0000       0.0000      
0.0000       0.9750       1.0000       10.0000      273.0000     100.0000     1.0000       0.0000      
0.0000       1.0000       1.0000       10.0000      273.0000     100.0000     1.0000       0.0000      

0.0050       0.0000       1.2500       0.1000       273.0000     100.0000     0.0000       1.0000      
0.0050       0.0250       1.1715       10.0000      285.1766     -2752.1585   0.2222       0.7778      
0.0050       0.0750       1.1053       10.7888      285.2246     -2625.1037   0.4615       0.5385      
0.0050       0.1250       1.0623       10.7668      282.1691     -2478.2842   0.6529       0.3471      
0.0050       0.1750       1.0362       10.7405      279.1163     -2326.2088   0.7867       0.2133      
0.0050       0.2250       1.0208       10.7242      276.8329     -2171.6476   0.8732       0.1268      
0.0050       0.2750       1.0118       10.7153      275.3115     -2015.8726   0.9264       0.0736      
0.0050       0.3250       1.0067       10.7107      274.3583     -1859.4972   0.9580       0.0420      
0.0050       0.3750       1.0037       10.7083      273.7833     -1702.8233   0.9763       0.0237      
0.0050       0.4250       1.0021       10.7071      273.4454     -1546.0005   0.9868       0.0132      
0.0050       0.4750       1.0011       10.7065      273.2504     -1389.1034   0.9927       0.0073      
0.0050       0.5250       1.0006       10.7062      273.1395     -1232.1690   0.9960       0.0040      
0.0050       0.5750       1.0003       10.7061      273.0772     -1075.2161   0.9978       0.0022      
0.0050       0.6250       1.0002       10.7060      273.0424     -918.2540    0.9988       0.0012      
0.0050       0.6750       1.0001       10.7060      273.0232     -761.2871    0.9994       0.0006      
0.0050       0.7250       1.0001       10.7059      273.0126     -604.3180    0.9997       0.0003      
0.0050       0.7750       1.0000       10.7059      273.0068     -447.3477    0.9998       0.0002      
0.0050       0.8250       1.0000       10.7059      273.0037     -290.3768    0.9999       0.0001      
0.0050       0.8750       1.0000       10.7059      273.0020     -133.4056    0.9999       0.0001      
0.0050       0.9250       1.0000       10.7059      273.0011     23.5657      1.0000       0.0000      
0.0050       0.9750       1.0000       10.7059      251.2325     100.0000     1.0000       0.0000      
0.0050       1.0000       1.0000       12.5000      273.0000     100.0000     1.0000       0.0000      

0.0100       0.0000       1.2500       0.1000       273.0000     100.0000     0.0000       1.0000      
0.0100       0.0250       1.2109       10.0000      288.0682     -2926.9403   0.1038       0.8962      
0.0100       0.0750       1.1572       10.3177      295.2161     -2806.8095   0.2692       0.7308      
0.0100       0.1250       1.1086       10.2628      294.8774     -2665.4325   0.4484       0.5516      
0.0100       0.1750       1.0715       10.2024      290.9462     -2512.9525   0.6089       0.3911      
0.0100       0.2250       1.0457       10.1536      286.2606     -2353.6726   0.7362       0.2638      
0.0100       0.2750       1.0285       10.1195      282.1650     -2190.3373   0.8288       0.1712      
0.0100       0.3250       1.0175       10.0975      279.0501     -2024.6298   0.8923       0.1077      
0.0100       0.3750       1.0106       10.0840      276.8630     -1857.5555   0.9338       0.0662      
0.0100       0.4250       1.0063       10.0760      275.4049     -1689.7034   0.9601       0.0399      
0.0100       0.4750       1.0037       10.0714      274.4676     -1521.4133   0.9763       0.0237      
0.0100       0.5250       1.0022       10.0688      273.8813     -1352.8786   0.9861       0.0139      
0.0100       0.5750       1.0013       10.0673      273.5222     -1184.2084   0.9919       0.0081      
0.0100       0.6250       1.0007       10.0664      273.3059     -1015.4637   0.9953       0.0047      
0.0100       0.6750       1.0004       10.0660      273.1775     -846.6780    0.9973       0.0027      
0.0100       0.7250       1.0002       10.0657      273.1021     -677.8701    0.9985       0.0015      
