Time         Position     density      velocity     Temperature  Pressure     species1     species2    
0.0000       0.0000       1.2250       0.1000       273.0000     0.0000       0.0000       1.0000      
0.0000       0.0050       1.0007       1.0000       273.0000     42570.0000   0.9950       0.0050      
0.0000       0.0150       1.0000       1.0000       273.0000     42140.0000   1.0000       0.0000      
0.0000       0.0250       1.0000       1.0000       273.0000     41710.0000   1.0000       0.0000      
0.0000       0.0350       1.0000       1.0000       273.0000     41280.0000   1.0000       0.0000      
0.0000       0.0450       1.0000       1.0000       273.0000     40850.0000   1.0000       0.0000      
0.0000       0.0550       1.0000       1.0000       273.0000     40420.0000   1.0000       0.0000      
0.0000       0.0650       1.0000       1.0000       273.0000     39990.0000   1.0000       0.0000      
0.0000       0.0750       1.0000       1.0000       273.0000     39560.0000   1.0000       0.0000      
0.0000       0.0850       1.0000       1.0000       273.0000     39130.0000   1.0000       0.0000      
0.0000       0.0950       1.0000       1.0000       273.0000     38700.0000   1.0000       0.0000      
0.0000       0.1050       1.0000       1.0000       273.0000     38270.0000   1.0000       0.0000      
0.0000       0.1150       1.0000       1.0000       273.0000     37840.0000   1.0000       0.0000      
0.0000       0.1250       1.0000       1.0000       273.0000     37410.0000   1.0000       0.0000      
0.0000       0.1350       1.0000       1.0000       273.0000     36980.0000   1.0000       0.0000      
0.0000       0.1450       1.0000       1.0000       273.0000     36550.0000   1.0000       0.0000      
0.0000       0.1550       1.0000       1.0000       273.0000     36120.0000   1.0000       0.0000      
0.0000       0.1650       1.0000       1.0000       273.0000     35690.0000   1.0000       0.0000      
0.0000       0.1750       1.0000       1.0000       273.0000     35260.0000   1.0000       0.0000      
0.0000       0.1850       1.0000       1.0000       273.0000     34830.0000   1.0000       0.0000      
0.0000       0.1950       1.0000       1.0000       273.0000     34400.0000   1.0000       0.0000      
0.0000       0.2050       1.0000       1.0000       273.0000     33970.0000   1.0000       0.0000      
0.0000       0.2150       1.0000       1.0000       273.0000     33540.0000   1.0000       0.0000      
0.0000       0.2250       1.0000       1.0000       273.0000     33110.0000   1.0000       0.0000      
0.0000       0.2350       1.0000       1.0000       273.0000     32680.0000   1.0000       0.0000      
